,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
152,برد,می برد,برده بود,برده باش,داشته  می برده,می بره,ببره,داره  می بره,می خواد ببره,ببره
153,بردیم,می بردیم,برده بودیم,برده باشیم,داشتیم  می بردیم,می بریم,ببریم,داریم  می بریم,می خوایم ببریم,ببریم
154,بردین,می بردین,برده بودین,برده باشین,داشتین  می بردین,می برین,ببرین,دارین  می برین,می خواین ببرین,ببرین
155,بردن,می بردن,برده بودن,برده باشن,داشتن  می بردن,می برن,ببرن,دارن  می برن,می خوان ببرن,ببرن
156,بریدم,می بریدم,بریده بودم,بریده باشم,داشتم  می بریدم,می برم,ببرم,دارم  می برم,می خوام ببرم,-
157,بریدی,می بریدی,بریده بودی,بریده باشی,داشتی  می بریدی,می بری,ببری,داری  می بری,می خوای ببری,ببر
158,برید,می برید,بریده بود,بریده باش,داشته  می بریده,می بره,ببره,داره  می بره,می خواد ببره,ببره
159,بریدیم,می بریدیم,بریده بودیم,بریده باشیم,داشتیم  می بریدیم,می بریم,ببریم,داریم  می بریم,می خوایم ببریم,ببریم
160,بریدین,می بریدین,بریده بودین,بریده باشین,داشتین  می بریدین,می برین,ببرین,دارین  می برین,می خواین ببرین,ببرین
161,بریدن,می بریدن,بریده بودن,بریده باشن,داشتن  می بریدن,می برن,ببرن,دارن  می برن,می خوان ببرن,ببرن
162,بستم,می بستم,بسته بودم,بسته باشم,داشتم  می بستم,می بندم,ببندم,دارم  می بندم,می خوام ببندم,-
163,بستی,می بستی,بسته بودی,بسته باشی,داشتی  می بستی,می بندی,ببندی,داری  می بندی,می خوای ببندی,ببند
164,بست,می بست,بسته بود,بسته باش,داشته  می بسته,می بنده,ببنده,داره  می بنده,می خواد ببنده,ببنده
165,بستیم,می بستیم,بسته بودیم,بسته باشیم,داشتیم  می بستیم,می بندیم,ببندیم,داریم  می بندیم,می خوایم ببندیم,ببندیم
166,بستین,می بستین,بسته بودین,بسته باشین,داشتین  می بستین,می بندین,ببندین,دارین  می بندین,می خواین ببندین,ببندین
167,بستن,می بستن,بسته بودن,بسته باشن,داشتن  می بستن,می بندن,ببندن,دارن  می بندن,می خوان ببندن,ببندن
168,بلعیدم,می بلعیدم,بلعیده بودم,بلعیده باشم,داشتم  می بلعیدم,می بلعم,ببلعم,دارم  می بلعم,می خوام ببلعم,-
169,بلعیدی,می بلعیدی,بلعیده بودی,بلعیده باشی,داشتی  می بلعیدی,می بلعی,ببلعی,داری  می بلعی,می خوای ببلعی,ببلع
170,بلعید,می بلعید,بلعیده بود,بلعیده باش,داشته  می بلعیده,می بلعه,ببلعه,داره  می بلعه,می خواد ببلعه,ببلعه
171,بلعیدیم,می بلعیدیم,بلعیده بودیم,بلعیده باشیم,داشتیم  می بلعیدیم,می بلعیم,ببلعیم,داریم  می بلعیم,می خوایم ببلعیم,ببلعیم
172,بلعیدین,می بلعیدین,بلعیده بودین,بلعیده باشین,داشتین  می بلعیدین,می بلعین,ببلعین,دارین  می بلعین,می خواین ببلعین,ببلعین
173,بلعیدن,می بلعیدن,بلعیده بودن,بلعیده باشن,داشتن  می بلعیدن,می بلعن,ببلعن,دارن  می بلعن,می خوان ببلعن,ببلعن
174,بو دادم,بو می دادم,بو داده بودم,بو داده باشم,داشتم بو می دادم,بو می دم,بو بدم,دارم بو می دم,می خوام بو بدم,-
175,بو دادی,بو می دادی,بو داده بودی,بو داده باشی,داشتی بو می دادی,بو می دی,بو بدی,داری بو می دی,می خوای بو بدی,بو بد
176,بو داد,بو می داد,بو داده بود,بو داده باش,داشته بو می داده,بو می ده,بو بده,داره بو می ده,می خواد بو بده,بو بده
177,بو دادیم,بو می دادیم,بو داده بودیم,بو داده باشیم,داشتیم بو می دادیم,بو می دیم,بو بدیم,داریم بو می دیم,می خوایم بو بدیم,بو بدیم
178,بو دادین,بو می دادین,بو داده بودین,بو داده باشین,داشتین بو می دادین,بو می دین,بو بدین,دارین بو می دین,می خواین بو بدین,بو بدین
179,بو دادن,بو می دادن,بو داده بودن,بو داده باشن,داشتن بو می دادن,بو می دن,بو بدن,دارن بو می دن,می خوان بو بدن,بو بدن
180,بو کردم,بو می کردم,بو کرده بودم,بو کرده باشم,داشتم بو می کردم,بو می کنم,بو بکنم,دارم بو می کنم,می خوام بو بکنم,-
181,بو کردی,بو می کردی,بو کرده بودی,بو کرده باشی,داشتی بو می کردی,بو می کنی,بو بکنی,داری بو می کنی,می خوای بو بکنی,بو بکن
182,بو کرد,بو می کرد,بو کرده بود,بو کرده باش,داشته بو می کرده,بو می کنه,بو بکنه,داره بو می کنه,می خواد بو بکنه,بو بکنه
183,بو کردیم,بو می کردیم,بو کرده بودیم,بو کرده باشیم,داشتیم بو می کردیم,بو می کنیم,بو بکنیم,داریم بو می کنیم,می خوایم بو بکنیم,بو بکنیم
184,بو کردین,بو می کردین,بو کرده بودین,بو کرده باشین,داشتین بو می کردین,بو می کنین,بو بکنین,دارین بو می کنین,می خواین بو بکنین,بو بکنین
185,بو کردن,بو می کردن,بو کرده بودن,بو کرده باشن,داشتن بو می کردن,بو می کنن,بو بکنن,دارن بو می کنن,می خوان بو بکنن,بو بکنن
186,بودم,می بودم,بوده بودم,بوده باشم,داشتم  می بودم,می باشم,بباشم,دارم  می باشم,می خوام بباشم,-
187,بودی,می بودی,بوده بودی,بوده باشی,داشتی  می بودی,می باشی,باشی,داری  می باشی,می خوای باشی,باش
188,بود,می بود,بوده بود,بوده باش,داشته  می بوده,می باشه,باشه,داره  می باشه,می خواد باشه,باشه
189,بودیم,می بودیم,بوده بودیم,بوده باشیم,داشتیم  می بودیم,می باشیم,باشیم,داریم  می باشیم,می خوایم باشیم,باشیم
190,بودین,می بودین,بوده بودین,بوده باشین,داشتین  می بودین,می باشین,باشین,دارین  می باشین,می خواین باشین,باشین
191,بودن,می بودن,بوده بودن,بوده باشن,داشتن  می بودن,می باشن,باشن,دارن  می باشن,می خوان باشن,باشن
192,بوس کردم,بوس می کردم,بوس کرده بودم,بوس کرده باشم,داشتم بوس می کردم,می بوسم,ببوسم,دارم  می بوسم,می خوام ببوسم,-
193,بوس کردی,بوس می کردی,بوس کرده بودی,بوس کرده باشی,داشتی بوس می کردی,می بوسی,ببوسی,داری  می بوسی,می خوای ببوسی,ببوس
194,بوس کرد,بوس می کرد,بوس کرده بود,بوس کرده باش,داشته بوس می کرده,می بوسه,ببوسه,داره  می بوسه,می خواد ببوسه,ببوسه
195,بوس کردیم,بوس می کردیم,بوس کرده بودیم,بوس کرده باشیم,داشتیم بوس می کردیم,می بوسیم,ببوسیم,داریم  می بوسیم,می خوایم ببوسیم,ببوسیم
196,بوس کردین,بوس می کردین,بوس کرده بودین,بوس کرده باشین,داشتین بوس می کردین,می بوسین,ببوسین,دارین  می بوسین,می خواین ببوسین,ببوسین
197,بوس کردن,بوس می کردن,بوس کرده بودن,بوس کرده باشن,داشتن بوس می کردن,می بوسن,ببوسن,دارن  می بوسن,می خوان ببوسن,ببوسن
