,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
2,کرد,تکه تکه کرد,تکه تکه می‌کرد,داشت تکه تکه می‌کرد,تکه تکه کرده(است),تکه تکه کرده بود,تکه تکه کند,تکه تکه می‌کند,دارد تکه تکه می‌کند,تکه تکه خواهد کرد,تکه تکه کرده باشد,تکه تکه بکند,تکه تکه بکند
3,کرده,تکه تکه کردیم,تکه تکه می‌کردیم,داشتیم تکه تکه می‌کردیم,تکه تکه کرده‌ایم,تکه تکه کرده بودیم,تکه تکه کنیم,تکه تکه می‌کنیم,داریم تکه تکه می‌کنیم,تکه تکه خواهیم کرد,تکه تکه کرده باشیم,تکه تکه بکنیم,تکه تکه بکنیم
4,کن,تکه تکه کردید,تکه تکه می‌کردید,داشتید تکه تکه می‌کردید,تکه تکه کرده‌اید,تکه تکه کرده بودید,تکه تکه کنید,تکه تکه می‌کنید,دارید تکه تکه می‌کنید,تکه تکه خواهید کرد,تکه تکه کرده باشید,تکه تکه بکنید,تکه تکه بکنید
5,-,تکه تکه کردند,تکه تکه می‌کردند,داشتند تکه تکه می‌کردند,تکه تکه کرده‌اند,تکه تکه کرده بودند,تکه تکه کنند,تکه تکه می‌کنند,دارند تکه تکه می‌کنند,تکه تکه خواهند کرد,تکه تکه کرده باشند,تکه تکه بکنند,تکه تکه بکنند
0,تلفن زدن,تلفن زدم,تلفن می‌زدم,داشتم تلفن می‌زدم,تلفن زده‌ام,تلفن زده بودم,تلفن زنم,تلفن می‌زنم,دارم تلفن می‌زنم,تلفن خواهم زد,تلفن زده باشم,تلفن بزنم,-
1,زدن,تلفن زدی,تلفن می‌زدی,داشتی تلفن می‌زدی,تلفن زده‌ای,تلفن زده بودی,تلفن زنی,تلفن می‌زنی,داری تلفن می‌زنی,تلفن خواهی زد,تلفن زده باشی,تلفن بزنی,تلفن بزن
2,زد,تلفن زد,تلفن می‌زد,داشت تلفن می‌زد,تلفن زده(است),تلفن زده بود,تلفن زند,تلفن می‌زند,دارد تلفن می‌زند,تلفن خواهد زد,تلفن زده باشد,تلفن بزند,تلفن بزند
3,زده,تلفن زدیم,تلفن می‌زدیم,داشتیم تلفن می‌زدیم,تلفن زده‌ایم,تلفن زده بودیم,تلفن زنیم,تلفن می‌زنیم,داریم تلفن می‌زنیم,تلفن خواهیم زد,تلفن زده باشیم,تلفن بزنیم,تلفن بزنیم
4,زن,تلفن زدید,تلفن می‌زدید,داشتید تلفن می‌زدید,تلفن زده‌اید,تلفن زده بودید,تلفن زنید,تلفن می‌زنید,دارید تلفن می‌زنید,تلفن خواهید زد,تلفن زده باشید,تلفن بزنید,تلفن بزنید
5,-,تلفن زدند,تلفن می‌زدند,داشتند تلفن می‌زدند,تلفن زده‌اند,تلفن زده بودند,تلفن زنند,تلفن می‌زنند,دارند تلفن می‌زنند,تلفن خواهند زد,تلفن زده باشند,تلفن بزنند,تلفن بزنند
0,تلفن کردن,تلفن کردم,تلفن می‌کردم,داشتم تلفن می‌کردم,تلفن کرده‌ام,تلفن کرده بودم,تلفن کنم,تلفن می‌کنم,دارم تلفن می‌کنم,تلفن خواهم کرد,تلفن کرده باشم,تلفن بکنم,-
1,کردن,تلفن کردی,تلفن می‌کردی,داشتی تلفن می‌کردی,تلفن کرده‌ای,تلفن کرده بودی,تلفن کنی,تلفن می‌کنی,داری تلفن می‌کنی,تلفن خواهی کرد,تلفن کرده باشی,تلفن بکنی,تلفن بکن
2,کرد,تلفن کرد,تلفن می‌کرد,داشت تلفن می‌کرد,تلفن کرده(است),تلفن کرده بود,تلفن کند,تلفن می‌کند,دارد تلفن می‌کند,تلفن خواهد کرد,تلفن کرده باشد,تلفن بکند,تلفن بکند
3,کرده,تلفن کردیم,تلفن می‌کردیم,داشتیم تلفن می‌کردیم,تلفن کرده‌ایم,تلفن کرده بودیم,تلفن کنیم,تلفن می‌کنیم,داریم تلفن می‌کنیم,تلفن خواهیم کرد,تلفن کرده باشیم,تلفن بکنیم,تلفن بکنیم
4,کن,تلفن کردید,تلفن می‌کردید,داشتید تلفن می‌کردید,تلفن کرده‌اید,تلفن کرده بودید,تلفن کنید,تلفن می‌کنید,دارید تلفن می‌کنید,تلفن خواهید کرد,تلفن کرده باشید,تلفن بکنید,تلفن بکنید
5,-,تلفن کردند,تلفن می‌کردند,داشتند تلفن می‌کردند,تلفن کرده‌اند,تلفن کرده بودند,تلفن کنند,تلفن می‌کنند,دارند تلفن می‌کنند,تلفن خواهند کرد,تلفن کرده باشند,تلفن بکنند,تلفن بکنند
0,تماشا کردن,تماشا کردم,تماشا می‌کردم,داشتم تماشا می‌کردم,تماشا کرده‌ام,تماشا کرده بودم,تماشا کنم,تماشا می‌کنم,دارم تماشا می‌کنم,تماشا خواهم کرد,تماشا کرده باشم,تماشا بکنم,-
1,کردن,تماشا کردی,تماشا می‌کردی,داشتی تماشا می‌کردی,تماشا کرده‌ای,تماشا کرده بودی,تماشا کنی,تماشا می‌کنی,داری تماشا می‌کنی,تماشا خواهی کرد,تماشا کرده باشی,تماشا بکنی,تماشا بکن
2,کرد,تماشا کرد,تماشا می‌کرد,داشت تماشا می‌کرد,تماشا کرده(است),تماشا کرده بود,تماشا کند,تماشا می‌کند,دارد تماشا می‌کند,تماشا خواهد کرد,تماشا کرده باشد,تماشا بکند,تماشا بکند
3,کرده,تماشا کردیم,تماشا می‌کردیم,داشتیم تماشا می‌کردیم,تماشا کرده‌ایم,تماشا کرده بودیم,تماشا کنیم,تماشا می‌کنیم,داریم تماشا می‌کنیم,تماشا خواهیم کرد,تماشا کرده باشیم,تماشا بکنیم,تماشا بکنیم
4,کن,تماشا کردید,تماشا می‌کردید,داشتید تماشا می‌کردید,تماشا کرده‌اید,تماشا کرده بودید,تماشا کنید,تماشا می‌کنید,دارید تماشا می‌کنید,تماشا خواهید کرد,تماشا کرده باشید,تماشا بکنید,تماشا بکنید
5,-,تماشا کردند,تماشا می‌کردند,داشتند تماشا می‌کردند,تماشا کرده‌اند,تماشا کرده بودند,تماشا کنند,تماشا می‌کنند,دارند تماشا می‌کنند,تماشا خواهند کرد,تماشا کرده باشند,تماشا بکنند,تماشا بکنند
0,تمیز کردن,تمیز کردم,تمیز می‌کردم,داشتم تمیز می‌کردم,تمیز کرده‌ام,تمیز کرده بودم,تمیز کنم,تمیز می‌کنم,دارم تمیز می‌کنم,تمیز خواهم کرد,تمیز کرده باشم,تمیز بکنم,-
1,کردن,تمیز کردی,تمیز می‌کردی,داشتی تمیز می‌کردی,تمیز کرده‌ای,تمیز کرده بودی,تمیز کنی,تمیز می‌کنی,داری تمیز می‌کنی,تمیز خواهی کرد,تمیز کرده باشی,تمیز بکنی,تمیز بکن
2,کرد,تمیز کرد,تمیز می‌کرد,داشت تمیز می‌کرد,تمیز کرده(است),تمیز کرده بود,تمیز کند,تمیز می‌کند,دارد تمیز می‌کند,تمیز خواهد کرد,تمیز کرده باشد,تمیز بکند,تمیز بکند
3,کرده,تمیز کردیم,تمیز می‌کردیم,داشتیم تمیز می‌کردیم,تمیز کرده‌ایم,تمیز کرده بودیم,تمیز کنیم,تمیز می‌کنیم,داریم تمیز می‌کنیم,تمیز خواهیم کرد,تمیز کرده باشیم,تمیز بکنیم,تمیز بکنیم
4,کن,تمیز کردید,تمیز می‌کردید,داشتید تمیز می‌کردید,تمیز کرده‌اید,تمیز کرده بودید,تمیز کنید,تمیز می‌کنید,دارید تمیز می‌کنید,تمیز خواهید کرد,تمیز کرده باشید,تمیز بکنید,تمیز بکنید
5,-,تمیز کردند,تمیز می‌کردند,داشتند تمیز می‌کردند,تمیز کرده‌اند,تمیز کرده بودند,تمیز کنند,تمیز می‌کنند,دارند تمیز می‌کنند,تمیز خواهند کرد,تمیز کرده باشند,تمیز بکنند,تمیز بکنند
0,جواب دادن,جواب دادم,جواب می‌دادم,داشتم جواب می‌دادم,جواب داده‌ام,جواب داده بودم,جواب دهم,جواب می‌دهم,دارم جواب می‌دهم,جواب خواهم داد,جواب داده باشم,جواب بدهم,-
1,دادن,جواب دادی,جواب می‌دادی,داشتی جواب می‌دادی,جواب داده‌ای,جواب داده بودی,جواب دهی,جواب می‌دهی,داری جواب می‌دهی,جواب خواهی داد,جواب داده باشی,جواب بدهی,جواب بده
2,داد,جواب داد,جواب می‌داد,داشت جواب می‌داد,جواب داده(است),جواب داده بود,جواب دهد,جواب می‌دهد,دارد جواب می‌دهد,جواب خواهد داد,جواب داده باشد,جواب بدهد,جواب بدهد
3,داده,جواب دادیم,جواب می‌دادیم,داشتیم جواب می‌دادیم,جواب داده‌ایم,جواب داده بودیم,جواب دهیم,جواب می‌دهیم,داریم جواب می‌دهیم,جواب خواهیم داد,جواب داده باشیم,جواب بدهیم,جواب بدهیم
4,ده,جواب دادید,جواب می‌دادید,داشتید جواب می‌دادید,جواب داده‌اید,جواب داده بودید,جواب دهید,جواب می‌دهید,دارید جواب می‌دهید,جواب خواهید داد,جواب داده باشید,جواب بدهید,جواب بدهید
5,-,جواب دادند,جواب می‌دادند,داشتند جواب می‌دادند,جواب داده‌اند,جواب داده بودند,جواب دهند,جواب می‌دهند,دارند جواب می‌دهند,جواب خواهند داد,جواب داده باشند,جواب بدهند,جواب بدهند
0,جوشاندن,جوشاندم,می‌جوشاندم,داشتم می‌جوشاندم,جوشانده‌ام,جوشانده بودم,جوشانم,می‌جوشانم,دارم می‌جوشانم,خواهم جوشاند,جوشانده باشم,بجوشانم,-
1,جوشاند,جوشاندی,می‌جوشاندی,داشتی می‌جوشاندی,جوشانده‌ای,جوشانده بودی,جوشانی,می‌جوشانی,داری می‌جوشانی,خواهی جوشاند,جوشانده باشی,بجوشانی,بجوشان
2,جوشانده,جوشاند,می‌جوشاند,داشت می‌جوشاند,جوشانده(است),جوشانده بود,جوشاند,می‌جوشاند,دارد می‌جوشاند,خواهد جوشاند,جوشانده باشد,بجوشاند,بجوشاند
3,جوشان,جوشاندیم,می‌جوشاندیم,داشتیم می‌جوشاندیم,جوشانده‌ایم,جوشانده بودیم,جوشانیم,می‌جوشانیم,داریم می‌جوشانیم,خواهیم جوشاند,جوشانده باشیم,بجوشانیم,بجوشانیم
4,-,جوشاندید,می‌جوشاندید,داشتید می‌جوشاندید,جوشانده‌اید,جوشانده بودید,جوشانید,می‌جوشانید,دارید می‌جوشانید,خواهید جوشاند,جوشانده باشید,بجوشانید,بجوشانید
5,-,جوشاندند,می‌جوشاندند,داشتند می‌جوشاندند,جوشانده‌اند,جوشانده بودند,جوشانند,می‌جوشانند,دارند می‌جوشانند,خواهند جوشاند,جوشانده باشند,بجوشانند,بجوشانند
