,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
4,کن,گوش کردید,گوش می‌کردید,داشتید گوش می‌کردید,گوش کرده‌اید,گوش کرده بودید,گوش کنید,گوش می‌کنید,دارید گوش می‌کنید,گوش خواهید کرد,گوش کرده باشید,گوش بکنید,گوش بکنید
5,-,گوش کردند,گوش می‌کردند,داشتند گوش می‌کردند,گوش کرده‌اند,گوش کرده بودند,گوش کنند,گوش می‌کنند,دارند گوش می‌کنند,گوش خواهند کرد,گوش کرده باشند,گوش بکنند,گوش بکنند
0,لرزیدن,لرزیدم,می‌لرزیدم,داشتم می‌لرزیدم,لرزیده‌ام,لرزیده بودم,لرزم,می‌لرزم,دارم می‌لرزم,خواهم لرزید,لرزیده باشم,بلرزم,-
1,لرزید,لرزیدی,می‌لرزیدی,داشتی می‌لرزیدی,لرزیده‌ای,لرزیده بودی,لرزی,می‌لرزی,داری می‌لرزی,خواهی لرزید,لرزیده باشی,بلرزی,بلرز
2,لرزیده,لرزید,می‌لرزید,داشت می‌لرزید,لرزیده(است),لرزیده بود,لرزد,می‌لرزد,دارد می‌لرزد,خواهد لرزید,لرزیده باشد,بلرزد,بلرزد
3,لرز,لرزیدیم,می‌لرزیدیم,داشتیم می‌لرزیدیم,لرزیده‌ایم,لرزیده بودیم,لرزیم,می‌لرزیم,داریم می‌لرزیم,خواهیم لرزید,لرزیده باشیم,بلرزیم,بلرزیم
4,-,لرزیدید,می‌لرزیدید,داشتید می‌لرزیدید,لرزیده‌اید,لرزیده بودید,لرزید,می‌لرزید,دارید می‌لرزید,خواهید لرزید,لرزیده باشید,بلرزید,بلرزید
5,-,لرزیدند,می‌لرزیدند,داشتند می‌لرزیدند,لرزیده‌اند,لرزیده بودند,لرزند,می‌لرزند,دارند می‌لرزند,خواهند لرزید,لرزیده باشند,بلرزند,بلرزند
0,ماندن,ماندم,می‌ماندم,داشتم می‌ماندم,مانده‌ام,مانده بودم,مانم,می‌مانم,دارم می‌مانم,خواهم ماند,مانده باشم,بمانم,-
1,ماند,ماندی,می‌ماندی,داشتی می‌ماندی,مانده‌ای,مانده بودی,مانی,می‌مانی,داری می‌مانی,خواهی ماند,مانده باشی,بمانی,بمان
2,مانده,ماند,می‌ماند,داشت می‌ماند,مانده(است),مانده بود,ماند,می‌ماند,دارد می‌ماند,خواهد ماند,مانده باشد,بماند,بماند
3,مان,ماندیم,می‌ماندیم,داشتیم می‌ماندیم,مانده‌ایم,مانده بودیم,مانیم,می‌مانیم,داریم می‌مانیم,خواهیم ماند,مانده باشیم,بمانیم,بمانیم
